City,lat,lon,Population
Muncie,40.1933767,-85.3863599,70316
Lehi,40.3916172,-111.8507662,54382
San Francisco,37.7749295,-122.4194155,837442
Fontana,34.0922335,-117.435048,203003
Frisco,33.1506744,-96.8236116,136791
Chino Hills,33.9898188,-117.7325848,76572
Poway,32.9628232,-117.0358646,49417
Huber Heights,39.843947,-84.1246608,38142
New Brunswick,40.4862157,-74.4518188,55831
Norfolk,36.8507689,-76.2858726,246139
Hillsboro,45.5228939,-122.989827,97368
San Jacinto,33.7839084,-116.958635,45851
Pensacola,30.421309,-87.2169149,52703
Hamilton,39.3995008,-84.5613355,62258
Florence,34.1954331,-79.7625625,37792
San Bernardino,34.1083449,-117.2897652,213708
Peachtree Corners,33.9698929,-84.2214551,40059
Victorville,34.5362184,-117.2927641,121096
Gary,41.5933696,-87.3464271,78450
Casa Grande,32.8795022,-111.7573521,50111
Morgan Hill,37.1305012,-121.6543901,40836
Dubuque,42.5005583,-90.6645718,58253
Syracuse,43.0481221,-76.1474244,144669
Clarksville,36.5297706,-87.3594528,142357
Lakeland,28.0394654,-81.9498042,100710
Valley Stream,40.6642699,-73.7084645,37659
Dover,39.158168,-75.5243682,37366
Moorhead,46.8737648,-96.7678039,39398
Culver City,34.0211224,-118.3964665,39428
Palatine,42.1103041,-88.03424,69350
Seattle,47.6062095,-122.3320708,652405
Covington,39.0836712,-84.5085536,40956
Elk Grove,38.4087993,-121.3716178,161007
Shreveport,32.5251516,-93.7501789,200327
Ogden,41.223,-111.9738304,84249
Harrisonburg,38.4495688,-78.8689155,51395
Inglewood,33.9616801,-118.3531311,111542
Pasadena,34.1477849,-118.1445155,139731
Lawrence,42.7070354,-71.1631137,77657
Lake Oswego,45.4206749,-122.6706498,37610
Petaluma,38.232417,-122.6366524,59440
Springfield,39.9242266,-83.8088171,59357
Napa,38.2975381,-122.286865,79068
Aurora,39.7294319,-104.8319195,345803
Duluth,46.7866719,-92.1004852,86128
Roanoke,37.2709704,-79.9414266,98465
Bend,44.0581728,-121.3153096,81236
Apple Valley,34.5008311,-117.1858759,70924
Waltham,42.3764852,-71.2356113,62227
Fort Myers,26.640628,-81.8723084,68190
Tampa,27.950575,-82.4571776,352957
Upland,34.09751,-117.6483876,75413
Danville,36.5859718,-79.3950228,42907
Beloit,42.5083482,-89.0317765,36888
Plantation,26.1275862,-80.2331036,90268
Colorado Springs,38.8338816,-104.8213634,439886
Modesto,37.6390972,-120.9968782,204933
Grand Rapids,42.9633599,-85.6680863,192294
Oak Park,41.8850317,-87.7845025,52066
Sarasota,27.3364347,-82.5306527,53326
Jurupa Valley,33.9971974,-117.4854802,98030
Bellflower,33.8816818,-118.1170117,77593
Boulder,40.0149856,-105.2705456,103166
Santa Fe,35.6869752,-105.937799,69976
Coachella,33.6803003,-116.173894,43092
Marlborough,42.3459271,-71.5522874,39414
Riverside,33.9533487,-117.3961564,316619
Palmdale,34.5794343,-118.1164613,157161
Novato,38.1074198,-122.5697032,54194
Layton,41.0602216,-111.9710529,70790
Bolingbrook,41.6986416,-88.0683955,73936
Mission Viejo,33.6000232,-117.6719953,96346
Glenview,42.0697509,-87.7878408,45417
Lincoln,38.891565,-121.2930079,45237
Folsom,38.6779591,-121.1760583,73098
Prescott Valley,34.6100243,-112.315721,39791
Las Cruces,32.3199396,-106.7636538,101324
Bozeman,45.6769979,-111.0429339,39860
Schaumburg,42.0333607,-88.0834059,74907
Warren,42.5144566,-83.0146526,134873
St. Peters,38.7874699,-90.6298922,54842
Ames,42.034722,-93.62,61792
Surprise,33.6292337,-112.3679279,123546
Richardson,32.9483335,-96.7298519,104475
Midland,43.6155825,-84.2472116,42181
San Marcos,29.8832749,-97.9413941,54076
Wilkes-Barre,41.2459149,-75.8813075,41108
Appleton,44.2619309,-88.4153847,73596
Shawnee,39.0228485,-94.7151865,64323
Mentor,41.6661573,-81.339552,46979
Livermore,37.6818745,-121.7680088,85156
Charlotte,35.2270869,-80.8431267,792862
Owensboro,37.7719074,-87.1111676,58416
Jupiter,26.9342246,-80.0942087,58298
Rohnert Park,38.3396367,-122.7010984,41398
Chicago,41.8781136,-87.6297982,2718782
Billings,45.7832856,-108.5006904,109059
Wauwatosa,43.0494572,-88.0075875,47134
Lombard,41.8800296,-88.0078435,43907
New Haven,41.308274,-72.9278835,130660
York,39.9625984,-76.727745,43935
Knoxville,35.9606384,-83.9207392,183270
Elyria,41.3683798,-82.1076486,53956
Barnstable Town,41.7003208,-70.3002024,44641
Murray,40.6668916,-111.8879909,48612
Alameda,37.7652065,-122.2416355,76419
Manteca,37.7974273,-121.2160526,71948
Maplewood,44.9530215,-92.9952153,39765
Medford,42.3265152,-122.8755949,77677
Murfreesboro,35.8456213,-86.39027,117044
Yuba City,39.1404477,-121.6169108,65416
Shelton,41.3164856,-73.0931641,40999
Cedar Falls,42.5348993,-92.4453161,40566
Germantown,35.0867577,-89.8100858,39375
Scranton,41.408969,-75.6624122,75806
Auburn,32.6098566,-85.4807825,58582
Manassas,38.7509488,-77.4752667,41705
Vacaville,38.3565773,-121.9877444,94275
Santa Monica,34.0194543,-118.4911912,92472
Suffolk,36.7282054,-76.5835621,85728
Rochester Hills,42.6583661,-83.1499322,72952
La Quinta,33.6633573,-116.3100095,39331
Charleston,38.3498195,-81.6326234,50821
Delano,35.7688425,-119.2470536,52403
St. Cloud,28.2489016,-81.2811801,40918
Charleston,32.7764749,-79.9310512,127999
Kannapolis,35.4873613,-80.6217341,44359
Corona,33.8752935,-117.5664384,159503
Rocklin,38.7907339,-121.2357828,59738
Lee's Summit,38.9108408,-94.3821724,93184
Palm Coast,29.5844524,-81.2078699,78740
Sandy,40.5649781,-111.8389726,90231
Bentonville,36.3728538,-94.2088172,40167
Santa Clarita,34.3916641,-118.542586,179590
Altamonte Springs,28.6611089,-81.3656242,42150
New Braunfels,29.7030024,-98.1244531,63279
Memphis,35.1495343,-90.0489801,653450
Irving,32.8140177,-96.9488945,228653
Alexandria,38.8048355,-77.0469214,148892
Hesperia,34.4263886,-117.3008784,92147
Holyoke,42.2042586,-72.6162009,40249
Dunwoody,33.9462125,-84.3346473,47591
Skokie,42.0324025,-87.7416246,65176
Kearny,40.7684342,-74.1454214,41664
Bethlehem,40.6259316,-75.3704579,75018
St. Joseph,39.7674578,-94.846681,77147
Redondo Beach,33.8491816,-118.3884078,67815
Houston,29.7604267,-95.3698028,2195914
Temecula,33.4936391,-117.1483648,106780
Ann Arbor,42.2808256,-83.7430378,117025
Beaumont,30.080174,-94.1265562,117796
East Lansing,42.7369792,-84.4838654,48554
Santee,32.8383828,-116.9739167,56105
Tamarac,26.2128609,-80.2497707,63155
Bellevue,41.1543623,-95.9145568,53663
Pembroke Pines,26.007765,-80.2962555,162329
Springdale,36.1867442,-94.1288141,75229
Oxnard,34.1975048,-119.1770516,203007
Odessa,31.8456816,-102.3676431,110720
Stillwater,36.1156071,-97.0583681,47186
Brockton,42.0834335,-71.0183787,94089
Bayonne,40.6687141,-74.1143091,65028
Paramount,33.8894598,-118.1597911,54980
Moline,41.5067003,-90.5151342,43116
Meridian,32.3643098,-88.703656,40921
Cleveland,35.1595182,-84.8766115,42774
Jersey City,40.7281575,-74.0776417,257342
St. Paul,44.9537029,-93.0899578,294873
Deltona,28.9005446,-81.2636738,86290
Freeport,40.6576022,-73.5831835,43167
Iowa City,41.6611277,-91.5301683,71591
Anaheim,33.8352932,-117.9145036,345012
Apple Valley,44.7319094,-93.21772,50201
Great Falls,47.4941836,-111.2833449,59351
West Valley City,40.6916132,-112.0010501,133579
Hampton,37.0298687,-76.3452218,136699
Georgetown,30.6332618,-97.6779842,54898
Orem,40.2968979,-111.6946475,91648
Monrovia,34.1442616,-118.0019482,37101
Keller,32.9341893,-97.229298,42907
Goose Creek,32.9810059,-80.0325867,39823
Little Rock,34.7464809,-92.2895948,197357
Santa Ana,33.7455731,-117.8678338,334227
White Plains,41.0339862,-73.7629097,57866
Idaho Falls,43.4916514,-112.0339645,58292
Bellevue,47.610377,-122.2006786,133992
Roseville,38.7521235,-121.2880059,127035
Perth Amboy,40.5067723,-74.2654234,51982
Peabody,42.5278731,-70.9286609,52044
Grand Island,40.9263957,-98.3420118,50550
Columbia,38.9517053,-92.3340724,115276
Racine,42.7261309,-87.7828523,78199
Carmel,39.978371,-86.1180435,85927
Portage,42.2011538,-85.5800022,47523
Middletown,39.5150576,-84.3982763,48630
Woodland,38.6785157,-121.7732971,56590
Revere,42.4084302,-71.0119948,53756
Euless,32.8370727,-97.0819541,53224
Arlington Heights,42.0883603,-87.9806265,75994
Hemet,33.7475203,-116.9719684,81750
High Point,35.9556923,-80.0053176,107741
Newark,40.0581205,-82.4012642,47777
Midwest City,35.4495065,-97.3967019,56756
San Marcos,33.1433723,-117.1661449,89387
Port Orange,29.1383165,-80.9956105,57203
Lakewood,33.8536269,-118.1339563,81121
Westerville,40.1261743,-82.9290696,37530
Rockford,42.2711311,-89.0939952,150251
El Cajon,32.7947731,-116.9625269,102211
St. Petersburg,27.773056,-82.64,249688
Downers Grove,41.8089191,-88.0111746,49670
Milford,41.2306979,-73.064036,51644
Albany,44.6365107,-123.1059282,51583
Las Vegas,36.1699412,-115.1398296,603488
Pasadena,29.6910625,-95.2091006,152735
Port St. Lucie,27.2730492,-80.3582261,171016
Cedar Rapids,41.9778795,-91.6656232,128429
Ormond Beach,29.2858129,-81.0558894,38661
Quincy,42.2528772,-71.0022705,93494
Miramar,25.9860762,-80.3035602,130288
El Paso,31.7775757,-106.4424559,674433
Topeka,39.0558235,-95.6890185,127679
Rosemead,34.0805651,-118.072846,54561
Keizer,44.9901194,-123.0262077,37064
Minnetonka,44.9211836,-93.4687489,51368
Akron,41.0814447,-81.5190053,198100
Edinburg,26.3017374,-98.1633432,80836
Rancho Cucamonga,34.1063989,-117.5931084,171386
North Charleston,32.8546197,-79.9748103,104054
Louisville,38.2526647,-85.7584557,609893
Watsonville,36.910231,-121.7568946,52477
Coconut Creek,26.2517482,-80.1789351,56792
Bradenton,27.4989278,-82.5748194,51763
Carlsbad,33.1580933,-117.3505939,110972
Texas City,29.383845,-94.9027002,46081
Redding,40.5865396,-122.3916754,91119
Wyoming,42.9133602,-85.7053085,74100
Lorain,41.452819,-82.1823746,63710
Roy,41.1616108,-112.0263313,37733
Fort Lauderdale,26.1224386,-80.1373174,172389
Warner Robins,32.6130007,-83.624201,72531
Clearwater,27.9658533,-82.8001026,109703
Cutler Bay,25.5808323,-80.3468593,43328
Florence,34.79981,-87.677251,40059
Terre Haute,39.4667034,-87.4139092,61025
Temple,31.0982344,-97.342782,70190
Beavercreek,39.7092262,-84.0632685,45712
Sioux Falls,43.5445959,-96.7311034,164676
Columbus,39.2014404,-85.9213796,45775
Margate,26.2445263,-80.206436,55456
Leominster,42.5250906,-71.759794,41002
Warwick,41.7001009,-71.4161671,81971
Bakersfield,35.3732921,-119.0187125,363630
Miami,25.7616798,-80.1917902,417650
Lake Charles,30.2265949,-93.2173758,74024
Richland,46.2856907,-119.2844621,52413
Hickory,35.7344538,-81.3444573,40361
South San Francisco,37.654656,-122.4077498,66174
Plymouth,45.0105194,-93.4555093,73987
South Bend,41.6763545,-86.2519898,100886
Edmond,35.6528323,-97.4780954,87004
Des Moines,41.6005448,-93.6091064,207510
Bonita Springs,26.339806,-81.7786972,47547
Draper,40.5246711,-111.8638226,45285
Whittier,33.9791793,-118.032844,86635
Livonia,42.36837,-83.3527097,95208
Milwaukee,43.0389025,-87.9064736,599164
Auburn,47.3073228,-122.2284532,74860
Sumter,33.9204354,-80.3414693,41190
Beverly,42.5584283,-70.880049,40664
Renton,47.4828776,-122.2170661,97003
Centennial,39.5807452,-104.8771726,106114
Richmond,37.5407246,-77.4360481,214114
Anderson,40.1053196,-85.6802541,55670
Beaumont,33.9294606,-116.977248,40481
Pflugerville,30.4393696,-97.6200043,53752
Hoboken,40.7439905,-74.0323626,52575
Lexington-Fayette,38.0405837,-84.5037164,308428
Norwalk,33.9022367,-118.081733,106589
Yuma,32.6926512,-114.6276916,91923
Highland,34.1283442,-117.2086513,54291
Carol Stream,41.9125286,-88.1347927,40379
Joliet,41.525031,-88.0817251,147806
Rock Hill,34.9248667,-81.0250784,69103
Rancho Cordova,38.5890723,-121.302728,67911
Dearborn Heights,42.3369816,-83.2732627,56620
Honolulu,21.3069444,-157.8583333,347884
Victoria,28.8052674,-97.0035982,65098
Attleboro,41.9445441,-71.2856082,43886
Wylie,33.0151201,-96.5388789,44575
Carrollton,32.9756415,-96.8899636,126700
Plainfield,41.632223,-88.2120315,41734
Hoffman Estates,42.0629915,-88.1227199,52398
Methuen,42.7262016,-71.1908924,48514
North Port,27.044224,-82.2359254,59212
Rockville,39.0839973,-77.1527578,64072
Burbank,34.1808392,-118.3089661,104709
Fullerton,33.8703596,-117.9242966,138981
Oshkosh,44.0247062,-88.5426136,66778
Huntsville,30.7235263,-95.5507771,39795
Farmington Hills,42.4989936,-83.3677168,81295
Pico Rivera,33.9830688,-118.096735,63771
Cerritos,33.8583483,-118.0647871,49707
La Puente,34.0200114,-117.9495083,40435
Grand Junction,39.0638705,-108.5506486,59778
Enid,36.3955891,-97.8783911,50725
San Jose,37.3382082,-121.8863286,998537
Round Rock,30.5082551,-97.678896,109821
Maple Grove,45.0724642,-93.4557877,65415
Norman,35.2225668,-97.4394777,118197
Homestead,25.4687224,-80.4775569,64079
Friendswood,29.5293998,-95.2010447,37587
Irvine,33.6839473,-117.7946942,236716
Pocatello,42.8713032,-112.4455344,54350
Pacifica,37.6138253,-122.4869194,38606
Sheboygan,43.7508284,-87.71453,48725
Bossier City,32.5159852,-93.7321228,66333
Cedar Park,30.505198,-97.8202888,61238
Sandy Springs,33.9304352,-84.3733147,99770
Champaign,40.1164204,-88.2433829,83424
Clifton,40.8584328,-74.1637553,85390
Moore,35.3395079,-97.4867028,58414
Blue Springs,39.0169509,-94.2816148,53294
Lancaster,34.6867846,-118.1541632,159523
Bryan,30.6743643,-96.3699632,78709
Hurst,32.8234621,-97.1705678,38448
Cape Coral,26.5628537,-81.9495331,165831
Cupertino,37.3229978,-122.0321823,60189
Pittsfield,42.4500845,-73.2453824,44057
Gilroy,37.0057816,-121.5682751,51701
Manchester,42.9956397,-71.4547891,110378
Virginia Beach,36.8529263,-75.977985,448479
Salina,38.8402805,-97.6114237,47846
Somerville,42.3875968,-71.0994968,78804
Largo,27.9094665,-82.7873244,78409
Fresno,36.7468422,-119.7725868,509924
Phenix City,32.4709761,-85.0007653,37498
Berwyn,41.8505874,-87.7936685,56758
Palm Beach Gardens,26.8233946,-80.1386547,50699
Pawtucket,41.878711,-71.3825558,71172
San Gabriel,34.0961111,-118.1058333,40275
Winston-Salem,36.0998596,-80.244216,236441
Alpharetta,34.0753762,-84.2940899,62298
O'Fallon,38.8106075,-90.6998477,82809
Redwood City,37.4852152,-122.2363548,80872
Union City,37.5933918,-122.0438298,72528
Hallandale Beach,25.9812024,-80.148379,38632
Mankato,44.1635775,-93.9993996,40641
Aliso Viejo,33.5676842,-117.7256083,50175
Menifee,33.6971468,-117.185294,83447
Loveland,40.3977612,-105.0749801,71334
Carpentersville,42.1211364,-88.2578582,38241
Providence,41.8239891,-71.4128343,177994
Hialeah,25.8575963,-80.2781057,233394
San Ramon,37.7799273,-121.9780153,74513
Ontario,34.0633443,-117.6508876,167500
Kirkland,47.6814875,-122.2087353,84430
St. George,37.0965278,-113.5684164,76817
Hilton Head Island,32.216316,-80.752608,39412
Glendale,34.1425078,-118.255075,196021
Meriden,41.5381535,-72.8070435,60456
Gardena,33.8883487,-118.3089624,59957
Westfield,42.1250929,-72.749538,41301
Elgin,42.0354084,-88.2825668,110145
Plano,33.0198431,-96.6988856,274409
Longmont,40.1672068,-105.1019275,89919
Coppell,32.9545687,-97.0150078,40342
Lakewood,41.4819932,-81.7981908,51143
Jonesboro,35.8422967,-90.704279,71551
College Station,30.627977,-96.3344068,100050
Dearborn,42.3222599,-83.1763145,95884
Utica,43.100903,-75.232664,61808
Monroe,32.5093109,-92.1193012,49761
Baltimore,39.2903848,-76.6121893,622104
Springfield,37.2089572,-93.2922989,164122
Pine Bluff,34.2284312,-92.0031955,46094
Plainfield,40.6337136,-74.4073736,50588
Lynn,42.466763,-70.9494938,91589
Woodbury,44.9238552,-92.9593797,65656
Gainesville,29.6516344,-82.3248262,127488
West Sacramento,38.5804609,-121.530234,49891
Sammamish,47.6162683,-122.0355736,50169
Aventura,25.9564812,-80.1392121,37199
Fayetteville,36.0625795,-94.1574263,78960
San Rafael,37.9735346,-122.5310874,58994
Conway,35.0886963,-92.4421011,63816
Tacoma,47.2528768,-122.4442906,203446
Middletown,41.5623209,-72.6506488,47333
Burlington,44.4758825,-73.212072,42284
Twin Falls,42.5629668,-114.4608711,45981
Sherman,33.6356618,-96.6088805,39296
New York,40.7127837,-74.0059413,8405837
Simi Valley,34.2694474,-118.781482,126181
West Covina,34.0686208,-117.9389526,107740
Castle Rock,39.3722121,-104.8560902,53063
Valdosta,30.8327022,-83.2784851,56481
Fort Worth,32.7554883,-97.3307658,792727
Carson,33.8316745,-118.281693,92599
Evansville,37.9715592,-87.5710898,120310
Santa Maria,34.9530337,-120.4357191,102216
Brentwood,36.0331164,-86.7827772,40021
La Mesa,32.7678287,-117.0230839,58642
Westminster,39.8366528,-105.0372046,110945
Reading,40.3356483,-75.9268747,87893
Turlock,37.4946568,-120.8465941,70365
Greeley,40.4233142,-104.7091322,96539
Tyler,32.3512601,-95.3010624,100223
Winter Garden,28.5652787,-81.5861847,37711
Waco,31.549333,-97.1466695,129030
Martinez,38.0193657,-122.1341321,37165
Thousand Oaks,34.1705609,-118.8375937,128731
Azusa,34.1336186,-117.9075627,47842
Bridgeport,41.1865478,-73.1951767,147216
St. Louis Park,44.9597376,-93.3702186,47411
Chesterfield,38.6631083,-90.5770675,47749
Greenacres,26.6276276,-80.1353896,38696
Pasco,46.2395793,-119.1005657,67599
Torrance,33.8358492,-118.3406288,147478
Madison,43.0730517,-89.4012302,243344
Janesville,42.6827885,-89.0187222,63820
Waukegan,42.3636331,-87.8447938,88826
Bowling Green,36.9685219,-86.4808043,61488
Arlington,32.735687,-97.1080656,379577
Lewisville,33.046233,-96.994174,101074
Farmington,36.7280583,-108.2186856,45426
Oakley,37.9974219,-121.7124536,38194
Palo Alto,37.4418834,-122.1430195,66642
Springfield,44.0462362,-123.0220289,60177
New Bedford,41.6362152,-70.934205,95078
Redmond,47.6739881,-122.121512,57530
Brentwood,37.931868,-121.6957863,55000
Davis,38.5449065,-121.7405167,66205
La Mirada,33.9172357,-118.0120086,49133
Smyrna,35.9828412,-86.5186045,43060
Altoona,40.5186809,-78.3947359,45796
Dothan,31.2232313,-85.3904888,68001
East Orange,40.767323,-74.2048677,64544
Tinley Park,41.5731442,-87.7932939,57282
Biloxi,30.3960318,-88.8853078,44820
Urbana,40.1105875,-88.2072697,41752
Garden Grove,33.7739053,-117.9414477,175140
Lynwood,33.930293,-118.2114603,71371
Northglenn,39.8961821,-104.9811468,37499
Canton,40.7989473,-81.378447,72535
Brookhaven,33.8651033,-84.3365917,50603
Baton Rouge,30.4582829,-91.1403196,229426
Bristol,41.6717648,-72.9492703,60568
Independence,39.0911161,-94.4155068,117240
Lansing,42.732535,-84.5555347,113972
Orland Park,41.6303103,-87.8539425,58590
Vineland,39.4863773,-75.0259637,61050
Green Bay,44.519159,-88.019826,104779
Evanston,42.0450722,-87.6876969,75570
Ocoee,28.5691677,-81.5439619,39172
Los Angeles,34.0522342,-118.2436849,3884307
Federal Way,47.3223221,-122.3126222,92734
West Jordan,40.6096698,-111.9391031,110077
Yucaipa,34.033625,-117.0430865,52536
Pittsburgh,40.4406248,-79.9958864,305841
Downey,33.9401088,-118.1331593,113242
Cicero,41.8455877,-87.7539448,84103
South Gate,33.954737,-118.2120161,95677
Panama City,30.1588129,-85.6602058,36877
Joplin,37.0842271,-94.513281,50789
League City,29.5074538,-95.0949303,90983
Salt Lake City,40.7607793,-111.8910474,191180
Fort Pierce,27.4467056,-80.3256056,43074
Phoenix,33.4483771,-112.0740373,1513367
Corvallis,44.5645659,-123.2620435,55298
Cedar Hill,32.5884689,-96.9561152,46663
Chicopee,42.1487043,-72.6078672,55717
Ocala,29.1871986,-82.1400923,57468
Roswell,34.0232431,-84.3615555,94034
Park Ridge,42.0111412,-87.8406192,37839
Concord,43.2081366,-71.5375718,42419
Olympia,47.0378741,-122.9006951,48338
Huntington Beach,33.660297,-117.9992265,197575
Corpus Christi,27.8005828,-97.396381,316381
Haverhill,42.7762015,-71.0772796,62088
Hanover Park,41.9994722,-88.1450735,38510
Cambridge,42.3736158,-71.1097335,107289
Glendale,33.5386523,-112.1859866,234632
Stanton,33.8025155,-117.9931165,38623
Summerville,33.0185039,-80.1756481,46074
Davenport,41.5236437,-90.5776367,102157
Boca Raton,26.3683064,-80.1289321,89407
New Britain,41.6612104,-72.7795419,72939
Roseville,42.4972583,-82.9371409,47555
Cleveland Heights,41.5200518,-81.556235,45394
Gresham,45.5001357,-122.4302013,109397
Lauderhill,26.1403635,-80.2133808,69813
Hendersonville,36.3047735,-86.6199957,54068
Santa Clara,37.3541079,-121.9552356,120245
Oceanside,33.1958696,-117.3794834,172794
Lake Forest,33.6469661,-117.689218,79312
Novi,42.48059,-83.4754913,57960
West New York,40.7878788,-74.0143064,52122
Everett,42.40843,-71.0536625,42935
Linden,40.6220478,-74.2445902,41301
Asheville,35.5950581,-82.5514869,87236
Compton,33.8958492,-118.2200712,97877
